Fecha consulta,Símbolo,Moneda base,Precio Futuro,Precio Spot,Días al vencimiento,Fecha de vencimiento,Tasa anualizada
2025-06-10,BTCUSD_250627,BTC,110282.3,110022.01,18,2025-06-27 05:00:00 UTC,5.02%
2025-06-10,BTCUSD_250926,BTC,112060.3,110022.01,109,2025-09-26 05:00:00 UTC,6.25%
2025-06-10,ETHUSD_250627,ETH,2700.74,2692.53,18,2025-06-27 05:00:00 UTC,6.47%
2025-06-10,ETHUSD_250926,ETH,2740.66,2692.53,109,2025-09-26 05:00:00 UTC,6.03%
2025-06-10,ADAUSD_250627,ADA,0.7095,0.7081,18,2025-06-27 05:00:00 UTC,4.2%
2025-06-10,LINKUSD_250627,LINK,14.362,14.39,18,2025-06-27 05:00:00 UTC,-4.13%
2025-06-10,BCHUSD_250627,BCH,421.99,422.5,18,2025-06-27 05:00:00 UTC,-2.56%
2025-06-10,DOTUSD_250627,DOT,4.169,4.165,18,2025-06-27 05:00:00 UTC,2.04%
2025-06-10,XRPUSD_250627,XRP,2.3171,2.3131,18,2025-06-27 05:00:00 UTC,3.67%
2025-06-10,LTCUSD_250627,LTC,91.14,90.84,18,2025-06-27 05:00:00 UTC,7.01%
2025-06-10,BNBUSD_250627,BNB,664.3,666.82,18,2025-06-27 05:00:00 UTC,-8.02%
2025-06-10,SOLUSD_250627,SOL,160.93,160.76,18,2025-06-27 05:00:00 UTC,2.24%
2025-06-10,ADAUSD_250926,ADA,0.7179,0.7081,109,2025-09-26 05:00:00 UTC,4.67%
2025-06-10,LINKUSD_250926,LINK,14.662,14.39,109,2025-09-26 05:00:00 UTC,6.38%
2025-06-10,BCHUSD_250926,BCH,424.04,422.5,109,2025-09-26 05:00:00 UTC,1.23%
2025-06-10,DOTUSD_250926,DOT,4.201,4.165,109,2025-09-26 05:00:00 UTC,2.92%
2025-06-10,XRPUSD_250926,XRP,2.3423,2.3131,109,2025-09-26 05:00:00 UTC,4.26%
2025-06-10,LTCUSD_250926,LTC,92.07,90.84,109,2025-09-26 05:00:00 UTC,4.57%
2025-06-10,BNBUSD_250926,BNB,661.0,666.82,109,2025-09-26 05:00:00 UTC,-2.94%
2025-06-10,SOLUSD_250926,SOL,161.94,160.76,109,2025-09-26 05:00:00 UTC,2.48%
