Fecha consulta,Símbolo,Moneda base,Precio Futuro,Precio Spot,Días al vencimiento,Fecha de vencimiento,Tasa anualizada
2025-06-10,BTC-USD-250613,BTC,110095.0,110094.5,4,2025-06-13 05:00:00 UTC,0.05%
2025-06-10,BTC-USD-250620,BTC,110191.1,110094.5,11,2025-06-20 05:00:00 UTC,3.14%
2025-06-10,BTC-USD-250627,BTC,110294.9,110094.5,18,2025-06-27 05:00:00 UTC,3.86%
2025-06-10,BTC-USD-250725,BTC,110718.1,110094.5,46,2025-07-25 05:00:00 UTC,4.57%
2025-06-10,BTC-USD-250926,BTC,112166.5,110094.5,109,2025-09-26 05:00:00 UTC,6.35%
2025-06-10,BTC-USD-251226,BTC,113978.2,110094.5,200,2025-12-26 05:00:00 UTC,6.46%
2025-06-10,BTC-USD-260327,BTC,115787.9,110094.5,291,2026-03-27 05:00:00 UTC,6.5%
2025-06-10,ETH-USD-250613,ETH,2695.94,2692.96,4,2025-06-13 05:00:00 UTC,12.64%
2025-06-10,ETH-USD-250620,ETH,2698.71,2692.96,11,2025-06-20 05:00:00 UTC,7.64%
2025-06-10,ETH-USD-250627,ETH,2700.31,2692.96,18,2025-06-27 05:00:00 UTC,5.79%
2025-06-10,ETH-USD-250725,ETH,2711.61,2692.96,46,2025-07-25 05:00:00 UTC,5.59%
2025-06-10,ETH-USD-250926,ETH,2737.26,2692.96,109,2025-09-26 05:00:00 UTC,5.55%
2025-06-10,ETH-USD-251226,ETH,2776.8,2692.96,200,2025-12-26 05:00:00 UTC,5.7%
2025-06-10,BTC-USDT-250613,BTC,110225.1,110094.5,4,2025-06-13 05:00:00 UTC,13.55%
2025-06-10,BTC-USDT-250620,BTC,110253.9,110094.5,11,2025-06-20 05:00:00 UTC,5.18%
2025-06-10,BTC-USDT-250627,BTC,110232.2,110094.5,18,2025-06-27 05:00:00 UTC,2.65%
2025-06-10,BTC-USDT-250725,BTC,110949.0,110094.5,46,2025-07-25 05:00:00 UTC,6.27%
2025-06-10,BTC-USDT-250926,BTC,112097.4,110094.5,109,2025-09-26 05:00:00 UTC,6.14%
2025-06-10,BTC-USDT-251226,BTC,114012.0,110094.5,200,2025-12-26 05:00:00 UTC,6.52%
2025-06-10,ETH-USDT-250613,ETH,2695.67,2692.96,4,2025-06-13 05:00:00 UTC,11.49%
2025-06-10,ETH-USDT-250620,ETH,2698.79,2692.96,11,2025-06-20 05:00:00 UTC,7.75%
2025-06-10,ETH-USDT-250627,ETH,2699.12,2692.96,18,2025-06-27 05:00:00 UTC,4.86%
2025-06-10,ETH-USDT-250926,ETH,2738.47,2692.96,109,2025-09-26 05:00:00 UTC,5.7%
2025-06-10,BTC-USDC-250627,BTC,106737.8,110094.5,18,2025-06-27 05:00:00 UTC,-64.72%
2025-06-10,ETH-USDC-250627,ETH,2695.48,2692.96,18,2025-06-27 05:00:00 UTC,1.99%
